title2
“태극기 배경으로 AI 프로필 사진 찍으세요”
"수원 장안구 정자1동, ㈜을지케어로부터 이웃돕기 성금 지원받아"
"콘진원, 파리올림픽 K콘텐츠존 2만7000명 운집 '성황'"
"이재명 ""김경수 복권 환영 당 위해 큰 역할 기대"""
CJ '올림픽 코리아하우스' 흥행 성공...6만4000여 명 몰려
" [fn오후시황] 코스피, 기관 매도세에 약보합"
"오아시스, 2분기 영업익 73억 역대 분기 최대 실적"
"""역대 분기 최대 실적"" 오아시스, 2분기 영업이익 135억 93% 증가"
"롯데호텔앤리조트, 한가위 맞이 2024 추석 선물세트 출시"
"청소년 도박 근절 챌린지 참여한 임태희 ""모두의 관심과 노력 필요"""
"파주시, 도로 신호 개편해 교통 효율성 안전성 향상"
"교통사고 현장서 도망친 40대, 이틀 만에 검거 ""음주 부인"""
금융사 생성형AI 활용 길 열린다 망분리 완화 시동
세종시의회 교육안전위원회 시의용소방대 연합회 간담회
"동아대 동서대, ‘2024년 글로컬대학 본 지정을 위한 혁신 포럼’ 개최"
"LG생활건강, 영동 수해민에 1억여 원 상당 생필품 지원"
"우리 농협은행, 주담대 금리 추가 인상 가계대출 관리 총력"
"파크 하얏트 서울 더 팀버 하우스, 8월 맞아 ‘레이디스 나잇’ 프로모션 선보여"
"속초시, 공공산후조리원 신축공사 기공식 개최"
강남역까지 20분 경기 과천에 아파트 '1만 가구' 짓는다
"""큰돈 번다"" 광고에... '마약 밀수' 가담 전, 충성맹세 가족 신상까지"
"이준석, 의협서 강연 “의사 집단 정치적 소비, 안타까워”"
"[속보] 尹, ‘집중호우’ 피해 파주 당진 4개 읍 면 특별재난지역 선포"
사이버 침해사고 24시간 내 신고해야 재발방지 이행 명령 근거도 마련
"한화 건설부문, 혹서기 건설현장 안전보건점검 시행"
"벤츠 코리아, 배터리셀 제조사 홈페이지 공개"
"거창에콜리안골프장, 8년여 만에 거창군민의 품으로 돌아오다"
"포스코이앤씨, 해양경찰청과 '제6회 해양환경보전 공모전' 개최"
"GC녹십자의료재단, 호남 분원 확장 이전 “호남권 서비스 강화”"
배터리 정보 공개한 벤츠 정보 공개 의무화 법안도 발의
[포토뉴스]담양 메타세쿼이아 가로수길에 여름 정취 더하는 보랏빛 맥문동
미래에셋증권 WM강남파이낸스센터 ‘마스터스 아카데미 1기’ 출범 기념 행사
TBWA 시니어랩 'A세대 콘텐츠 소비&생산 심층 탐구' 보고서 발간
"페르노리카 코리아, 프리미엄 스페셜티 위스키 추석 선물세트 출시"
세계 최초 장기간 작용 '나노항응고제' 개발 연 52조 시장 선점 'GO'
"CJ푸드빌 빕스, 은평구와 함께 결식 아동 및 지역 소외계층 돕는다"
“동의대 발전 위해 작은 밀알 되겠다”
"양평군, 호우피해 주민 ‘지적 측량 수수료’ 50% 감면"
"삼성물산, 협력사 환경성적표지 인증 취득 지원 나선다"
하동 노량대교 인근 갯바위 변사자 발견
"서산교육지원청, 을지연습 안보교육 실시"
음성군화훼생산자협의회 쌀 소비촉진 캠페인
"권선택 전 대전시장 이동채 전 에코프로 회장, 광복절 특별사면"
"尹, 집중호우 특별재난지역 추가 선포 “피해 주민 지원 꼼꼼히 챙겨달라”"
한남대-국민연금공단 청년 취업 활성화 협약
"벤츠, 화재 발생 모델 등 총 5종에 中 파라시스 배터리 탑재"
"플라이강원, ‘파라타항공’으로 새 출발"
"[단독]“서울시 임산부, 카드 하나로 市 행사 시설 프리패스”"
"함안군, 방학 기간 '함안친구 천원밥상' 호응"
"[경기] 용인시, 신갈1지구 국제규격 '아이스링크장' 건립"
"라온시큐어, 인도네시아 통합 디지털 ID 서비스 프로젝트 수주"
"현대차, KT 1대주주 공익성심사 이달말 결론"
"추경호 ""공수처 수사 후 대법원장 추천 채 상병 특검법 검토"""
"동서발전, 건설현장 근로자 온열질환 예방 캠페인 진행"
"지역난방공사, 국민 기부 마라톤 '에너지 히어로 레이스' 개최 에너지 취약계층 지원"
"숨고르기 끝낸 삼성물산, 하반기 ‘도정사업 수주’ 뒷심 발휘"
"석유공사-안전보건공단, 공공데이터 데이터기반행정 활성화 업무협약 체결"
"""뉴라이트가 독립기념관장이라니"" 광복회, 임명 철회 촉구"
"이선빈, 시크한 미모 ♥이광수 또 반할 듯 [스타★샷]"
"신세계인터내셔날, '꾸레쥬' 한국 온라인 스토어 개설로 국내 소비자 공략나서"
"한채훈 의왕시의원 ""의왕시도 소각장 건립정책에 관심 가져야"""
"인제군, 골칫덩이 ‘민물 가마우지’ 300여마리 포획"
농협 영동군지부 기업인협의회 추풍령농협과 영동쌀 소비 촉진 MOU
‘잔치’ 끝내고 ‘정치’ 마주한 마크롱 [김태훈의 의미 또는 재미]
"‘자녀 출산 직원에 1억원’ 부영그룹, 임직원에 19년째 몸보신용 삼계탕"
"손경식 경총 회장, 경사노위 위원장 접견 ‘노란봉투법’ 우려 전달"
"동아대 강대성 부총장 ROTC 동문회, 하계입영훈련 사관후보생 위문 방문"
ETF 일감 몰아주기 자산운용사 `빅4` 전수조사
벤츠 전기차 배터리 제조사 공개 파라시스 5종ㆍCATL 8종
"신한은행, 취업생 꿈 지원하는 `커리어업 6기` 수료"
"동아대, 동서대와 ‘2024년 글로컬대학 본지정을 위한 혁신 포럼’ 개최"
거창군 공립 치매전담형 노인요양시설 ‘거창시니어카운티’ 개원
"박홍근 ""회전문 인사, 대한민국 가장 큰 문제는 윤석열"""
북한 쓰레기 풍선 발견된 파주 야산서 산불 23분 만에 진화
해남군 삼산막걸리 ‘대한민국 우리술 품평회’ 대상
"거창군, 에콜리안 거창골프장 조기인수 협약 체결"
"이동환 고양시장, 뮌헨 바이오클러스터 바이오엠(BioM)과 협력 교두보 마련"
"구미시, 아시아육상경기선수권대회 준비 착착"
경산시 윤희란 부시장 ASF 차단위해 긴급 점검회의 실시
"CJ 비비고 올리브영, 프랑스에 K-컬쳐 알렸다"
"건설연, BIMㆍVR 기술 기반 소음ㆍ진동 체험용 시뮬레이터 개발"
윤수영 LGD CTO “올해는 IT용 OLED시장 본격 개화 원년”
울진 후포 앞바다에서 골뱅이 잡던 50대 숨져
가격 역주행 효과 있네 이마트 상반기 흑자전환
"든든한 해외식품에 바이오도 반등 CJ제일제당, 2분기 수익성 대폭 개선"
"대구시선관위, 23일 '선거홍보관 영화제 픽(PICK)크닉' 개최"
2030년 산업용ㆍ친환경 섬유 세계시장 점유율 각 10% 달성 목표
세븐틴 트와이스 지효가 반한 우아한 목소리 첫 내한한 영국 팝스타 올리비아 딘
"김승수, ""문체부 산하 스포츠윤리센터 사실상 유명무실 기구 전락"""
"美 영토 넓히는 허니냅스, 의료 AI `솜눔(SOMNUM)` 수출"
'델 테크놀로지스 포럼 2024' 28일 코엑스서 열린다
"[ET라씨로]LS일렉트릭, MSCI 편입 소식에도 하락세"
"[ET라씨로]코스맥스, 증권가 목표가 하향에 하락세"
"한수원, 경주시 청년 창업에 2악5000만원 지원"
"석유관리원, 4대 정유사 합동 품질관리 컨설팅 시행 품질위반 35% 감소"
정봉주 '명팔이' 발언에 역풍...최고위원 후보 개딸들 일제히 비판
[데일리안 시사만평] '광복절 기념식' 반쪽 행사 될라 尹 재차 요청에도 불참 선언 광복회
"부산시, 2026년 해외관광객 300만 시대 연다"
대구 청년예술가 21인이 그리는 2024 로컬 아트 비기너 '랩 라이브스테이지'
"부산정보산업진흥원, AI 신규사업 유치 140억원 확보"
은행 지점장에게 흉기 휘두른 80대 여성 현행범 체포
펄펄 끓는 한반도 “체감 35도 넘는 폭염일수 10년새 30일 증가”
"[현장] 박하선 “♥류수영, 처음엔 이혼 예능 걱정” 사랑꾼 부부에도 깨달음 주는 ‘이혼숙려캠프’"
본태박물관 광복절 특별 프로모션 '오늘의 당신'
“확장 맞춰 인력 충원” 인천공항자회사 노조 2차 경고파업
"고양시, 시민과 함께 만드는 새로운 보행로 '고양 라온길' 조성"
넷마블 ‘일곱 개의 대죄 키우기’ 글로벌 174개국 정식 출시
‘부표 위 큰바다사자’ 부산 울산 해상에서 이틀째 발견
‘사실상 남자의 주먹’ 女선수 안전 외면해선 안돼 끝나지 않은 염색체 논란 [필동정담]
尹대통령 ‘집중호우 피해’ 파주 당진시 4개 읍면 특별재난지역 선포
이상이 “웹소설 재질 순정 재벌남의 걸음마 로맨스 내 마음에 쏙” (‘손해 보기 싫어서’)
인천항 전자상거래 특화구역에 CJ대한통운 물류센터 조성 2026년 가동
"디지털대성, 강남대성기숙 의대관 인수"
"동아제약, '환 음료 동시에' 숙취해소제 '모닝케어 프레스온' 출시"
"타가, '트래블키트' 30만개 판매 돌파"
"카카오엔터프라이즈, AICC 센터플로우로 스타트업 업무 지원"
"카카오게임즈, 오션드라이브 스튜디오 신작 인디 2종 퍼블리싱 계약 체결"
"국회 광주시, 캐스퍼 전기차 구매 협약"
"한국 청소년, 몽골 사막화 방지 숲 조성"
합작회사 명목으로 골목상권 침탈한 CJ프레시웨이 공정위 과징금 245억
광복절 기념 '태극기 휘날리며' 카퍼레이드
"홍성 양지플라워, 위기가정을 위한 희망 나눔 시작"
"김태흠 충남도지사, 을지연습 앞두고 민방위 시설 점검"
"충남 워케이션 할인 프로모션, '워케이션 충남 얼리버드' 잡아라"
"충남도서관, 오는 20일부터 로봇 체험 전시 프로그램 운영"
"충남도, 무궁화 관리 역량 '보령시' 으뜸"
"충남도, 17~18일 아산 이순신체육관서 제16회 대통령배 아마추어 이(e)스포츠 대회 개최"
광복절 기념 태극기 휘날리는 '호국영웅택시'
제79주년 광복절 기념 '호국영웅택시' 카퍼레이드
[동정] 전형식 충남 정무부지사
"충남도, 옛 토지대장 일제 잔재 뿌리 뽑는다"
"충남교육청, 학생 기초학력 꼼꼼히 지원"
"예산소방서, 주유소 내 흡연 시 과태료 500만원"
"주택관리공단 분당청솔6단지, '살기좋은 마을만들기 캠페인' 진행"
"경북도, 개식용 종식 앞당긴다 취급 업소 모두 이행계획서 제출"
"손경식 경총 회장, 권기섭 경사노위 위원장에 ""노동시장 유연성 강화해야"""
"삼척시, 광복절 태극기 달기 운동"
"농협음성군지부 음성교육지원청, '쌀 소비촉진 캠페인' 전개"
화성 아리셀공장 화재사고 중수본 3차회의
중앙사고수습본부 3차 회의 주재하는 이정식 장관
중수본 3차회의 주재하는 이정식 장관
이정식 장관 주재 화성 아리셀공장 화재사고 중수본 3차회의
화성 아리셀공장 화재사고 중수본 3차회의
"금감원, ETF 계열사 밀어주기 점검...KB자산 한국투자신탁 삼성자산 조사"
"이정식 장관, 화성 아리셀공장 화재사고 중수본 3차회의 주재"
"연제구, 배산성지 5차 발굴  성곽 추정지에서 성벽 확인"
동해시 상하수도사업소 경영평가 '나'등급
밀양 성폭행 신상공개한 '전투토끼' 공무원 아내 구속 개인정보 유출 혐의
잠실야구장서 여성 납치 시도 경찰 추적 중
"영주적십자병원, 맞춤형 감염관리 컨설팅 가져"
"“포스트 코로나 시대, 새 목회 모색하자”"
"산업부 ""친환경 섬유 소재 개발 제조공정 친환경 전환 지원"""
"사립대 '수익용 재산' 처분, 5억에서 20억까지 확대"
"임기근 조달청장, 군수품 공급 현황 점검"
"동서대 윤창원 교수, ‘2024년 대한민국학술원 우수학술 도서’ 선정"
"충남경찰청, 광복절 폭주족 무관용 강력단속 예고"
"이상익 함평군수 ""보훈 정책 발굴에 최선 다할 터'"
"금감원 ""카카오페이, 고객 동의 없이 中 알리페이에 신용정보 넘겨"""
"경남도, 가격표시 모범거리 만든다"
"목포 십자형 도시숲, 산림청 '아름다운 도시숲 50선' 선정"
"진도군보건소, '마음은 청춘' 마음건강 치유 프로그램"
고성군 경로당에 와이파이 설치
"영암군, 실전 대응능력 점검 민방위 훈련"
"해남군 삼산막걸리, 대한민국 우리술 품평회 '대상'"
"영산강유역환경청, 휴가철 특별점검"
"경기도남부자치경찰위원회, 90개 구간에 '후면 무인단속 장비, 신규 설치'"
[단독]여자친구 소원 FA시장 나왔다 위엔터와 아름다운 이별
"금감원 ""고객정보 알리에 넘겼다"" 카카오페이 ""위법 아니다"""
CJ그룹 “파리올림픽 코리아하우스에 6만4500명 문전성시”
"벤츠, 전기차 8종 배터리 제조사 공개 14일부터 '무상 점검' 시작"
"현대백화점 미아점, 대학가 맛집 총출동 ‘미식 공간’ 강화"
"전아연, 개정된 사업자선정지침 기후변화 방지 워크숍"
[미리보는 K-아트페어 대전] 화려한 색감 역동성 톡톡 튀는 팝아트 매력에 빠져볼까
"SK하이닉스 투자한 가우스랩스, Panoptes VM 2.0 출시"
"(재)음성군장학회, '모교로 찾아가는 멘토링'"
"㈜린솔, 중기부 '팁스' 프로그램 최종 선정"
"국내 닭고기 제품, EU 이어 영국 수출길도 열려"
"폭염에 양식장 집단 폐사...온열질환자 2,300명 육박"
"""상생은 가장"" 중소상권 우회 침탈 CJ프레시웨이 과징금 245억 원"
"검찰, 큐텐 재무 담당자 소환...'티메프' 자금 흐름 조사"
울산 해안 ‘생태계 보고’ 멸종위기종 잇따라 발견
고성군 ‘나눔 실천’ 최상위 지자체 선정
"다이나믹디자인, 상반기 매출액 347억 “수익성 개선 만전”"
"부산도시공사, 노후 공공임대주택 개선방향 정책포럼 연다"
용두산공원 ‘나이트 페스타’로 야간 놀거리 문화 선도
"대구 남구, 구민상 수상자 초청 구정발전 간담회 개최"
"순천 시민들, 김문수 국회의원에 뿔난 사연은?"
‘음주운전’ BTS 슈가 탈퇴 촉구 ‘근조화환’ 하이브앞 등장
"서울 대기에도 미세플라스틱 떠다닌다 ""폴리에틸렌이 절반"""
"iM뱅크, 데이터분석 전문가 양성과정 교육생 모집"
"벤츠, 전기차 배터리 전격 공개 8개 중 5개 차종 중국산"
"정읍경찰서, 고령 보행안전 위한 찾아가는 교통안전교육 큰 호응"
